[2025-06-25 13:17:52] 🔁 Neues Training mit max_steps=183000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 13:35:52] 🔁 Neues Training mit max_steps=184000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 13:53:53] 🔁 Neues Training mit max_steps=185000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 14:11:53] 🔁 Neues Training mit max_steps=186000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 14:31:53] 🔁 Neues Training mit max_steps=187000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 14:55:53] 🔁 Neues Training mit max_steps=188000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 15:17:53] 🔁 Neues Training mit max_steps=189000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 15:39:53] 🔁 Neues Training mit max_steps=190000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 16:01:53] 🔁 Neues Training mit max_steps=191000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 16:23:53] 🔁 Neues Training mit max_steps=192000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 16:45:53] 🔁 Neues Training mit max_steps=193000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 17:09:53] 🔁 Neues Training mit max_steps=194000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

